k,il,il_hat,vc,vc_hat,vR2,vR2_hat,iR2,iR2_hat
592,5.357049,5.348633,-10.699154,-10.704102,12.042014,12.045541,0.010818,0.012041
593,4.816229,4.809570,-9.618875,-9.625000,10.828111,10.831242,0.011318,0.010827
594,4.257255,4.250977,-8.502342,-8.507812,9.571123,9.573959,0.008118,0.009571
595,3.679445,3.673828,-7.348184,-7.352539,8.271208,8.273937,0.008827,0.008271
596,3.089347,3.083984,-6.169495,-6.172852,6.943784,6.946316,0.009180,0.006944
597,2.486538,2.483398,-4.965417,-4.970703,5.591582,5.593541,0.004843,0.005592
598,1.873701,1.869141,-3.741315,-3.742188,4.209316,4.210969,0.005541,0.004209
599,1.252570,1.250000,-2.500650,-2.502930,2.814585,2.816431,0.003946,0.002815
600,0.627386,0.625000,-1.251896,-1.252930,1.408595,1.409681,0.002746,0.001409
601,0.001168,-0.000977,-0.001084,-0.000977,0.000843,0.000733,0.000666,0.000001
602,-0.626142,-0.626953,1.251909,1.250977,-1.409173,-1.408216,-0.000605,-0.001408
603,-1.251699,-1.250977,2.501395,2.500977,-2.815265,-2.814721,-0.002421,-0.002814
604,-1.872210,-1.871094,3.740797,3.741211,-4.210449,-4.210481,-0.005029,-0.004209
605,-2.485643,-2.483398,4.966056,4.965820,-5.588392,-5.588656,-0.003805,-0.005587
606,-3.088126,-3.085938,6.169435,6.171875,-6.943771,-6.945828,-0.004976,-0.006943
607,-3.679414,-3.676758,7.350454,7.353516,-8.274268,-8.275646,-0.008919,-0.008273
608,-4.255069,-4.251953,8.500238,8.502930,-9.568288,-9.569319,-0.007883,-0.009566
609,-4.814624,-4.809570,9.617865,9.621094,-10.825017,-10.827335,-0.012235,-0.010823
610,-5.355103,-5.350586,10.697380,10.702148,-12.040179,-12.044076,-0.012237,-0.012040
611,-5.874834,-5.868164,11.735453,11.739258,-13.208253,-13.210994,-0.014216,-0.013206
612,-6.370341,-6.363281,12.725131,12.729492,-14.322731,-14.325404,-0.014470,-0.014320
613,-6.841298,-6.834961,13.665773,13.671875,-15.383264,-15.386084,-0.016299,-0.015381
614,-7.287022,-7.279297,14.556013,14.559570,-16.382552,-16.385218,-0.016017,-0.016379
615,-7.701675,-7.693359,15.384182,15.389648,-17.316826,-17.319144,-0.017973,-0.017313
616,-8.086402,-8.077148,16.152577,16.157227,-18.179977,-18.182976,-0.018429,-0.018177
617,-8.438960,-8.428711,16.856712,16.859375,-18.971237,-18.973296,-0.019704,-0.018967
618,-8.758910,-8.748047,17.495718,17.499023,-19.691953,-19.693034,-0.019122,-0.019686
619,-9.044321,-9.032227,18.065729,18.069336,-20.334126,-20.334620,-0.020969,-0.020327
620,-9.293072,-9.280273,18.562513,18.564453,-20.893248,-20.891947,-0.019592,-0.020885
621,-9.506524,-9.493164,18.988792,18.988281,-21.372720,-21.369167,-0.022247,-0.021362
622,-9.682868,-9.667969,19.340947,19.337891,-21.768780,-21.762618,-0.023286,-0.021755
623,-9.819247,-9.801758,19.613272,19.605469,-22.075307,-22.063750,-0.023999,-0.022056
624,-9.916894,-9.897461,19.808235,19.795898,-22.295417,-22.278182,-0.020734,-0.022270
625,-9.976651,-9.955078,19.927519,19.908203,-22.429294,-22.404936,-0.021739,-0.022397
626,-9.996734,-9.971680,19.967553,19.941406,-22.476261,-22.442303,-0.024385,-0.022434
627,-9.977166,-9.947266,19.928389,19.894531,-22.431653,-22.389305,-0.020995,-0.022381
628,-9.917393,-9.885742,19.808918,19.768555,-22.294566,-22.247898,-0.023790,-0.022240
629,-9.819670,-9.787109,19.613650,19.573242,-22.075336,-22.027849,-0.020150,-0.022020
630,-9.682246,-9.651367,19.339079,19.301758,-21.768395,-21.722320,-0.023408,-0.021715
631,-9.506949,-9.478516,18.988865,18.958984,-21.374141,-21.336197,-0.021829,-0.021329
632,-9.293933,-9.269531,18.563311,18.541992,-20.893204,-20.866792,-0.020767,-0.020859
633,-9.045143,-9.025391,18.066306,18.053711,-20.335348,-20.317280,-0.019506,-0.020310
634,-8.760927,-8.744141,17.498541,17.492188,-19.696600,-19.685219,-0.019385,-0.019678
635,-8.440953,-8.425781,16.859351,16.857422,-18.976524,-18.970610,-0.019675,-0.018964
636,-8.087110,-8.074219,16.152517,16.154297,-18.181711,-18.179313,-0.019744,-0.018173
637,-7.702923,-7.691406,15.385081,15.385742,-17.315382,-17.314748,-0.016861,-0.017309
638,-7.287336,-7.277344,14.554923,14.558594,-16.383483,-16.383753,-0.016395,-0.016378
639,-6.843538,-6.833984,13.668423,13.670898,-15.383517,-15.384863,-0.015631,-0.015379
640,-6.372906,-6.364258,12.728327,12.730469,-14.324857,-14.326625,-0.014865,-0.014322
641,-5.875442,-5.868164,11.734637,11.738281,-13.208843,-13.210017,-0.014453,-0.013205
642,-5.356045,-5.348633,10.697148,10.700195,-12.039752,-12.041633,-0.012717,-0.012037
643,-4.816556,-4.809570,9.619531,9.619141,-10.824129,-10.825381,-0.010898,-0.010822
644,-4.256351,-4.250977,8.500534,8.502930,-9.566803,-9.569075,-0.009428,-0.009566
645,-3.680604,-3.675781,7.350504,7.353516,-8.273761,-8.275402,-0.008542,-0.008272
646,-3.089439,-3.085938,6.169677,6.170898,-6.943583,-6.944851,-0.006593,-0.006942
647,-2.486912,-2.483398,4.966165,4.966797,-5.588655,-5.589633,-0.005862,-0.005588
648,-1.873639,-1.871094,3.741189,3.741211,-4.210761,-4.210481,-0.004732,-0.004209
649,-1.253491,-1.251953,2.502490,2.502930,-2.816857,-2.816919,-0.003409,-0.002816
650,-0.628003,-0.627930,1.253127,1.252930,-1.411747,-1.410414,0.000672,-0.001410
651,-0.000005,0.000000,-0.001243,-0.000977,0.001932,0.000977,0.000257,0.000001
652,0.626987,0.625000,-1.253597,-1.252930,1.408971,1.409681,-0.000001,0.001409
653,1.252130,1.250977,-2.502257,-2.504883,2.817130,2.818629,0.001576,0.002818
654,1.871947,1.870117,-3.740271,-3.742188,4.209274,4.211213,0.002711,0.004210
655,2.484620,2.482422,-4.964012,-4.967773,5.587037,5.590366,0.006049,0.005588
656,3.087710,3.083984,-6.168607,-6.172852,6.942606,6.946316,0.007264,0.006944
657,3.678496,3.674805,-7.348620,-7.355469,8.273570,8.277112,0.007103,0.008274
658,4.254607,4.249023,-8.499316,-8.503906,9.566237,9.569563,0.010145,0.009566
659,4.814430,4.808594,-9.617477,-9.622070,10.824707,10.828067,0.011179,0.010824
660,5.355234,5.348633,-10.697644,-10.703125,12.040529,12.044564,0.011810,0.012040
661,5.874269,5.867188,-11.734323,-11.741211,13.208188,13.212704,0.011761,0.013208
662,6.371847,6.363281,-12.728142,-12.733398,14.326072,14.329311,0.013694,0.014324
663,6.843357,6.834961,-13.669886,-13.677734,15.387514,15.391945,0.016321,0.015386
664,7.286228,7.276367,-14.554422,-14.560547,16.381435,16.385462,0.016264,0.016380
665,7.701050,7.691406,-15.382933,-15.388672,17.312843,17.317678,0.018290,0.017312
666,8.087490,8.077148,-16.154754,-16.160156,18.181688,18.185907,0.020032,0.018179
667,8.439847,8.428711,-16.858484,-16.865234,18.975773,18.979157,0.019169,0.018972
668,8.759783,8.748047,-17.497461,-17.503906,19.695608,19.697919,0.021392,0.019691
669,9.044249,9.031250,-18.065584,-18.069336,20.333976,20.334375,0.021410,0.020327
670,9.293844,9.279297,-18.564056,-18.565430,20.892921,20.892679,0.021886,0.020885
671,9.506124,9.490234,-18.987991,-18.988281,21.371639,21.368434,0.021527,0.021361
672,9.681169,9.664062,-19.337551,-19.334961,21.766033,21.758710,0.022963,0.021751
673,9.818913,9.799805,-19.612608,-19.606445,22.076562,22.064238,0.021946,0.022056
674,9.917261,9.895508,-19.808970,-19.795898,22.295282,22.277693,0.022151,0.022270
675,9.976228,9.951172,-19.926672,-19.906250,22.428845,22.402005,0.023233,0.022394
676,9.995938,9.966797,-19.965963,-19.937500,22.474286,22.437174,0.022876,0.022429
677,9.976635,9.944336,-19.927329,-19.890625,22.430816,22.384665,0.023810,0.022377
678,9.917214,9.882812,-19.808562,-19.766602,22.295616,22.245211,0.021671,0.022237
679,9.819987,9.784180,-19.614283,-19.572266,22.076599,22.026139,0.022195,0.022018
680,9.683006,9.648438,-19.340599,-19.301758,21.769077,21.721587,0.021044,0.021714
681,9.507335,9.476562,-18.989636,-18.958008,21.372086,21.334731,0.020898,0.021327
682,9.295567,9.268555,-18.566577,-18.544922,20.898180,20.869478,0.021479,0.020862
683,9.046169,9.023438,-18.068353,-18.054688,20.337602,20.317768,0.019455,0.020311
684,8.761060,8.742188,-17.498805,-17.494141,19.697350,19.686684,0.019520,0.019680
685,8.440498,8.423828,-16.858442,-16.856445,18.975673,18.969144,0.018416,0.018962
686,8.087982,8.074219,-16.154262,-16.156250,18.183165,18.181266,0.018688,0.018175
687,7.703199,7.690430,-15.385630,-15.388672,17.316757,17.317434,0.017152,0.017311
688,7.288410,7.276367,-14.557070,-14.561523,16.384245,16.386439,0.016502,0.016381
689,6.844332,6.833984,-13.670009,-13.676758,15.387950,15.390724,0.015356,0.015385
690,6.373888,6.364258,-12.730289,-12.734375,14.328099,14.330533,0.014429,0.014325
691,5.877709,5.868164,-11.739167,-11.744141,13.212829,13.215879,0.012450,0.013211
692,5.357759,5.349609,-10.700571,-10.706055,12.044207,12.047739,0.013076,0.012043
693,4.817260,4.809570,-9.620935,-9.625977,10.828195,10.832219,0.011009,0.010828
694,4.258095,4.250000,-8.504019,-8.506836,9.569744,9.572738,0.008976,0.009569
695,3.681491,3.675781,-7.352273,-7.356445,8.276220,8.278333,0.008601,0.008275
696,3.090404,3.085938,-6.171605,-6.177734,6.948968,6.951689,0.008613,0.006949
697,2.487149,2.483398,-4.966638,-4.971680,5.591951,5.594517,0.004687,0.005593
698,1.874762,1.871094,-3.743435,-3.746094,4.214609,4.215365,0.004574,0.004214
699,1.254630,1.250977,-2.504765,-2.505859,2.817781,2.819605,0.001907,0.002819
700,0.629364,0.625977,-1.255847,-1.254883,1.412055,1.411879,0.001412,0.001411
701,0.001650,0.000000,-0.002044,-0.003906,0.003069,0.003907,-0.000269,0.000004
702,-0.626744,-0.626953,1.253114,1.251953,-1.409408,-1.409192,-0.002390,-0.001409
703,-1.252061,-1.250977,2.502119,2.500977,-2.815334,-2.814721,-0.003253,-0.002814
704,-1.871535,-1.870117,3.739447,3.739258,-4.208732,-4.208283,-0.004235,-0.004207
705,-2.484409,-2.482422,4.963590,4.964844,-5.586272,-5.587435,-0.005566,-0.005585
706,-3.087448,-3.084961,6.168082,6.170898,-6.942944,-6.944607,-0.006559,-0.006942
707,-3.678229,-3.674805,7.348087,7.350586,-8.270665,-8.272227,-0.009581,-0.008269
708,-4.255220,-4.250977,8.500543,8.501953,-9.566242,-9.568098,-0.006882,-0.009565
709,-4.814903,-4.810547,9.618421,9.621094,-10.825107,-10.827579,-0.010789,-0.010824
710,-5.354764,-5.350586,10.696701,10.702148,-12.040931,-12.044076,-0.012614,-0.012040
711,-5.873904,-5.867188,11.733593,11.736328,-13.206016,-13.207819,-0.012664,-0.013203
712,-6.370203,-6.363281,12.724857,12.730469,-14.322884,-14.326381,-0.015262,-0.014321
713,-6.841525,-6.833984,13.666227,13.670898,-15.381046,-15.384863,-0.015669,-0.015379
714,-7.286257,-7.278320,14.554484,14.559570,-16.381174,-16.384974,-0.017234,-0.016379
715,-7.701630,-7.693359,15.384093,15.388672,-17.315417,-17.318167,-0.018290,-0.017312
716,-8.087819,-8.078125,16.155409,16.160156,-18.183401,-18.186151,-0.018050,-0.018180
717,-8.439560,-8.430664,16.857911,16.864258,-18.975671,-18.978669,-0.020899,-0.018972
718,-8.759431,-8.749023,17.496758,17.500977,-19.694276,-19.695233,-0.018146,-0.019688
719,-9.044010,-9.032227,18.065105,18.067383,-20.332914,-20.332666,-0.020072,-0.020325
720,-9.293936,-9.281250,18.564240,18.565430,-20.895243,-20.893168,-0.022014,-0.020886
721,-9.506940,-9.493164,18.989623,18.990234,-21.374541,-21.371121,-0.022263,-0.021364
722,-9.682881,-9.667969,19.340973,19.337891,-21.768793,-21.762618,-0.021106,-0.021755
723,-9.818794,-9.801758,19.612365,19.605469,-22.075582,-22.063750,-0.020911,-0.022056
724,-9.917276,-9.897461,19.809001,19.796875,-22.297178,-22.279159,-0.020951,-0.022271
725,-9.975912,-9.953125,19.926041,19.906250,-22.427353,-22.402494,-0.022587,-0.022395
726,-9.995293,-9.968750,19.964674,19.937500,-22.470815,-22.437662,-0.022050,-0.022430
727,-9.976572,-9.946289,19.927203,19.892578,-22.427440,-22.387107,-0.021698,-0.022379
728,-9.918299,-9.886719,19.810731,19.770508,-22.297275,-22.250096,-0.022840,-0.022242
729,-9.819796,-9.787109,19.613900,19.574219,-22.076145,-22.028826,-0.022802,-0.022021
730,-9.683320,-9.651367,19.341227,19.304688,-21.769415,-21.725251,-0.022855,-0.021718
731,-9.508708,-9.480469,18.992379,18.961914,-21.375985,-21.339616,-0.022378,-0.021332
732,-9.295116,-9.270508,18.565673,18.544922,-20.898386,-20.869966,-0.020603,-0.020863
733,-9.045488,-9.024414,18.066993,18.052734,-20.335442,-20.316059,-0.020940,-0.020309
734,-8.759191,-8.741211,17.495069,17.488281,-19.692096,-19.680579,-0.019619,-0.019674
735,-8.439899,-8.424805,16.857248,16.853516,-18.971887,-18.966458,-0.019026,-0.018960
736,-8.086973,-8.075195,16.152245,16.155273,-18.182754,-18.180534,-0.017412,-0.018174
737,-7.703717,-7.692383,15.386668,15.388672,-17.319328,-17.317923,-0.017126,-0.017312
738,-7.288436,-7.278320,14.557121,14.560547,-16.384204,-16.385951,-0.016463,-0.016380
739,-6.843989,-6.833984,13.669323,13.671875,-15.384094,-15.385839,-0.013792,-0.015380
740,-6.372123,-6.364258,12.726760,12.731445,-14.324229,-14.327602,-0.014370,-0.014323
741,-5.876512,-5.868164,11.736778,11.739258,-13.209223,-13.210994,-0.013533,-0.013206
742,-5.356870,-5.350586,10.698795,10.704102,-12.043684,-12.046029,-0.012578,-0.012042
743,-4.816469,-4.809570,9.619354,9.622070,-10.826296,-10.828311,-0.009900,-0.010824
744,-4.256884,-4.250977,8.501600,8.503906,-9.567968,-9.570052,-0.009718,-0.009567
745,-3.680424,-3.675781,7.350143,7.353516,-8.274126,-8.275402,-0.008413,-0.008272
746,-3.090223,-3.086914,6.171246,6.175781,-6.949186,-6.949980,-0.007282,-0.006948
747,-2.487402,-2.484375,4.967143,4.969727,-5.591968,-5.592808,-0.005642,-0.005591
748,-1.873571,-1.872070,3.741054,3.743164,-4.212393,-4.212679,-0.003829,-0.004211
749,-1.253604,-1.252930,2.502716,2.504883,-2.818715,-2.819117,-0.004120,-0.002818
750,-0.629034,-0.627930,1.255189,1.252930,-1.411731,-1.410414,-0.000867,-0.001410
751,-0.001217,-0.000977,0.001178,0.000000,-0.001756,-0.000244,-0.000343,-0.000000
752,0.627097,0.625977,-1.253819,-1.254883,1.411660,1.411879,0.002036,0.001411
753,1.251950,1.250977,-2.501896,-2.504883,2.817315,2.818629,0.003068,0.002818
754,1.872789,1.871094,-3.741955,-3.744141,4.211712,4.213412,0.004362,0.004212
755,2.485252,2.481445,-4.965272,-4.965820,5.586677,5.588168,0.006635,0.005586
756,3.088660,3.084961,-6.170505,-6.174805,6.945374,6.948514,0.007533,0.006946
757,3.680140,3.675781,-7.351906,-7.354492,8.274059,8.276379,0.010773,0.008273
758,4.255780,4.250977,-8.501660,-8.505859,9.568568,9.572005,0.009007,0.009569
759,4.814647,4.809570,-9.617908,-9.623047,10.825574,10.829288,0.010957,0.010825
760,5.355374,5.349609,-10.697923,-10.703125,12.041644,12.044808,0.011245,0.012041
761,5.874905,5.868164,-11.735593,-11.742188,13.209577,13.213925,0.011622,0.013209
762,6.371409,6.363281,-12.727266,-12.733398,14.324994,14.329311,0.015729,0.014324
763,6.841652,6.833008,-13.666479,-13.672852,15.382264,15.386572,0.016285,0.015381
764,7.285820,7.276367,-14.553611,-14.559570,16.380504,16.384485,0.017900,0.016379
765,7.702335,7.692383,-15.385504,-15.391602,17.316911,17.320853,0.017365,0.017315
766,8.086780,8.076172,-16.153331,-16.158203,18.180172,18.183709,0.019255,0.018177
767,8.438434,8.426758,-16.855660,-16.860352,18.970382,18.973784,0.020297,0.018967
768,8.758943,8.747070,-17.495783,-17.500977,19.692894,19.694744,0.020232,0.019688
769,9.043725,9.030273,-18.064537,-18.068359,20.331153,20.333154,0.019655,0.020326
770,9.293647,9.279297,-18.563662,-18.566406,20.894776,20.893656,0.019322,0.020886
771,9.506370,9.490234,-18.988482,-18.988281,21.372153,21.368434,0.021877,0.021361
772,9.682061,9.664062,-19.339335,-19.335938,21.767394,21.759687,0.020999,0.021752
773,9.819161,9.800781,-19.613102,-19.607422,22.077672,22.065460,0.023391,0.022058
774,9.917848,9.896484,-19.810144,-19.796875,22.298056,22.278914,0.021731,0.022271
775,9.976784,9.952148,-19.927783,-19.908203,22.431270,22.404203,0.021728,0.022396
776,9.995887,9.966797,-19.965860,-19.937500,22.473739,22.437174,0.023060,0.022429
777,9.976320,9.944336,-19.926699,-19.889648,22.429845,22.383688,0.022410,0.022376
778,9.917923,9.883789,-19.809979,-19.768555,22.295855,22.247409,0.021465,0.022240
779,9.819499,9.784180,-19.613306,-19.572266,22.075839,22.026139,0.021908,0.022018
780,9.682337,9.647461,-19.339262,-19.300781,21.768303,21.720366,0.020440,0.021713
781,9.506623,9.475586,-18.988212,-18.957031,21.371401,21.333510,0.022718,0.021326
782,9.294501,9.267578,-18.564447,-18.541016,20.893618,20.865326,0.022474,0.020858
783,9.045699,9.023438,-18.067415,-18.053711,20.335056,20.316791,0.019377,0.020310
784,8.760306,8.741211,-17.497298,-17.492188,19.694576,19.684486,0.018109,0.019677
785,8.439648,8.421875,-16.856745,-16.853516,18.970873,18.965725,0.019382,0.018959
786,8.087749,8.073242,-16.153798,-16.156250,18.182644,18.181022,0.018845,0.018175
787,7.702545,7.689453,-15.384324,-15.387695,17.317003,17.316213,0.016252,0.017310
788,7.286980,7.275391,-14.554211,-14.559570,16.382171,16.384241,0.016243,0.016378
789,6.843543,6.832031,-13.668434,-13.673828,15.385485,15.387304,0.015536,0.015382
790,6.373100,6.363281,-12.728714,-12.735352,14.327545,14.331265,0.014780,0.014326
791,5.876700,5.867188,-11.737152,-11.741211,13.210440,13.212704,0.012741,0.013208
792,5.357552,5.348633,-10.700158,-10.705078,12.043056,12.046518,0.012032,0.012042
793,4.817495,4.810547,-9.621405,-9.627930,10.830209,10.834417,0.012392,0.010831
794,4.257706,4.250977,-8.503242,-8.507812,9.571264,9.573959,0.010518,0.009571
795,3.681583,3.675781,-7.352458,-7.358398,8.276467,8.280286,0.008067,0.008277
796,3.090643,3.085938,-6.172083,-6.177734,6.949017,6.951689,0.007743,0.006949
797,2.488001,2.483398,-4.968340,-4.969727,5.590512,5.592564,0.005262,0.005591
798,1.874578,1.870117,-3.743065,-3.744141,4.211771,4.213167,0.002331,0.004212
799,1.254736,1.251953,-2.504978,-2.508789,2.821288,2.822780,0.002575,0.002822
800,0.629020,0.626953,-1.255158,-1.255859,1.412955,1.413100,0.000714,0.001413
801,0.000641,0.000000,-0.000027,-0.000977,-0.000334,0.000977,0.000471,0.000001
802,-0.626947,-0.627930,1.253517,1.252930,-1.412087,-1.410414,-0.000453,-0.001410
803,-1.251569,-1.251953,2.501135,2.501953,-2.815784,-2.815942,-0.003396,-0.002815
804,-1.872280,-1.872070,3.740937,3.743164,-4.212554,-4.212679,-0.003716,-0.004211
805,-2.485732,-2.484375,4.966234,4.967773,-5.590220,-5.590854,-0.006612,-0.005589
806,-3.088908,-3.086914,6.170999,6.173828,-6.947280,-6.948026,-0.007463,-0.006946
807,-3.677959,-3.674805,7.347543,7.349609,-8.270410,-8.271250,-0.007556,-0.008268
808,-4.254677,-4.250977,8.499458,8.502930,-9.566948,-9.569075,-0.008177,-0.009566
809,-4.815178,-4.811523,9.618973,9.623047,-10.827519,-10.829777,-0.010672,-0.010826
810,-5.355294,-5.349609,10.697761,10.700195,-12.039992,-12.041878,-0.011348,-0.012038
811,-5.874262,-5.868164,11.734308,11.738281,-13.207996,-13.210017,-0.013474,-0.013205
812,-6.370561,-6.364258,12.725572,12.730469,-14.323435,-14.326625,-0.013387,-0.014322
813,-6.841848,-6.834961,13.666872,13.670898,-15.381351,-15.385107,-0.014367,-0.015380
814,-7.286901,-7.278320,14.555772,14.559570,-16.382290,-16.384974,-0.013758,-0.016379
815,-7.701633,-7.692383,15.384097,15.388672,-17.315389,-17.317923,-0.018872,-0.017312
816,-8.086580,-8.077148,16.152933,16.157227,-18.181187,-18.182976,-0.017946,-0.018177
817,-8.439667,-8.429688,16.858127,16.862305,-18.974310,-18.976471,-0.018406,-0.018970
818,-8.759064,-8.749023,17.496024,17.501953,-19.694950,-19.696209,-0.020482,-0.019689
819,-9.043608,-9.032227,18.064303,18.066406,-20.331803,-20.331689,-0.018502,-0.020324
820,-9.293607,-9.281250,18.563583,18.564453,-20.893896,-20.892191,-0.020744,-0.020885
821,-9.505592,-9.492188,18.986928,18.987305,-21.371727,-21.367946,-0.024602,-0.021360
822,-9.681375,-9.666992,19.337965,19.335938,-21.766661,-21.760420,-0.022253,-0.021753
823,-9.818401,-9.801758,19.611583,19.604492,-22.074307,-22.062773,-0.020162,-0.022055
824,-9.917038,-9.897461,19.808525,19.795898,-22.296812,-22.278182,-0.021519,-0.022270
825,-9.977215,-9.955078,19.928646,19.910156,-22.431303,-22.406890,-0.022710,-0.022399
826,-9.995695,-9.970703,19.965475,19.938477,-22.472807,-22.439128,-0.022007,-0.022431
827,-9.975738,-9.946289,19.925536,19.891602,-22.426973,-22.386131,-0.021723,-0.022378
828,-9.917941,-9.886719,19.810017,19.770508,-22.298477,-22.250096,-0.023211,-0.022242
829,-9.818631,-9.786133,19.611571,19.572266,-22.074378,-22.026628,-0.023729,-0.022019
830,-9.682580,-9.650391,19.339750,19.302734,-21.769654,-21.723053,-0.021641,-0.021715
831,-9.507898,-9.478516,18.990761,18.959961,-21.375431,-21.337174,-0.022236,-0.021330
832,-9.295359,-9.269531,18.566160,18.543945,-20.896738,-20.868745,-0.021813,-0.020861
833,-9.046727,-9.025391,18.069470,18.054688,-20.337883,-20.318257,-0.019713,-0.020311
834,-8.760260,-8.743164,17.497204,17.490234,-19.695213,-19.683021,-0.020208,-0.019676
835,-8.441082,-8.426758,16.859612,16.858398,-18.976611,-18.971831,-0.018679,-0.018965
836,-8.087805,-8.074219,16.153908,16.154297,-18.182208,-18.179313,-0.019404,-0.018173
837,-7.702830,-7.691406,15.384894,15.388672,-17.317788,-17.317678,-0.016693,-0.017312
838,-7.288018,-7.277344,14.556286,14.557617,-16.382799,-16.382776,-0.017877,-0.016377
839,-6.843538,-6.834961,13.668420,13.673828,-15.386931,-15.388037,-0.015257,-0.015383
840,-6.372726,-6.364258,12.727967,12.731445,-14.327030,-14.327602,-0.015149,-0.014323
841,-5.876112,-5.867188,11.735978,11.737305,-13.207573,-13.208796,-0.014909,-0.013204
842,-5.356796,-5.349609,10.698648,10.703125,-12.042832,-12.044808,-0.011786,-0.012041
843,-4.816777,-4.810547,9.619971,9.625000,-10.829686,-10.831486,-0.009193,-0.010828
844,-4.255978,-4.250977,8.499787,8.502930,-9.567171,-9.569075,-0.008348,-0.009566
845,-3.680858,-3.675781,7.351012,7.353516,-8.274196,-8.275402,-0.008604,-0.008272
846,-3.089653,-3.085938,6.170104,6.172852,-6.946051,-6.946805,-0.006306,-0.006944
847,-2.486041,-2.483398,4.964423,4.966797,-5.589390,-5.589633,-0.003750,-0.005588
848,-1.873905,-1.871094,3.741723,3.742188,-4.211206,-4.211458,-0.004237,-0.004210
849,-1.254251,-1.251953,2.504009,2.502930,-2.817060,-2.816919,-0.004126,-0.002816
850,-0.628678,-0.626953,1.254477,1.252930,-1.411895,-1.410169,-0.001667,-0.001410
851,-0.001569,-0.000977,0.001883,0.000000,-0.001856,-0.000244,0.001752,-0.000000
852,0.626311,0.625000,-1.252249,-1.251953,1.408000,1.408704,-0.000184,0.001408
853,1.251986,1.250977,-2.501969,-2.504883,2.816709,2.818629,0.001255,0.002818
854,1.872876,1.871094,-3.742128,-3.746094,4.213110,4.215365,0.003723,0.004214
855,2.486176,2.483398,-4.967120,-4.970703,5.591619,5.593541,0.004913,0.005592
856,3.088916,3.083984,-6.171015,-6.172852,6.944275,6.946316,0.009494,0.006944
857,3.680086,3.674805,-7.351797,-7.355469,8.274407,8.277112,0.008125,0.008274
858,4.255741,4.250977,-8.501581,-8.506836,9.569886,9.572982,0.008563,0.009570
859,4.815910,4.809570,-9.620433,-9.625977,10.828508,10.832219,0.011417,0.010828
860,5.356212,5.349609,-10.699596,-10.704102,12.042015,12.045785,0.013418,0.012042
861,5.876579,5.869141,-11.738938,-11.746094,13.213011,13.218077,0.014195,0.013213
862,6.372155,6.364258,-12.728753,-12.735352,14.327245,14.331509,0.013485,0.014326
863,6.842730,6.833984,-13.668632,-13.676758,15.385968,15.390724,0.013923,0.015385
864,7.285963,7.277344,-14.553894,-14.561523,16.382533,16.386683,0.014237,0.016381
865,7.701533,7.692383,-15.383899,-15.390625,17.315973,17.319876,0.017106,0.017314
866,8.086174,8.075195,-16.152120,-16.156250,18.178585,18.181511,0.018165,0.018175
867,8.438229,8.426758,-16.855252,-16.861328,18.971346,18.974761,0.018153,0.018968
868,8.759349,8.747070,-17.496596,-17.501953,19.692683,19.695721,0.020728,0.019689
869,9.044473,9.031250,-18.066032,-18.069336,20.333873,20.334375,0.019591,0.020327
870,9.294726,9.280273,-18.565819,-18.568359,20.896146,20.895854,0.021432,0.020888
871,9.506915,9.491211,-18.989570,-18.989258,21.374021,21.369656,0.022892,0.021362
872,9.682759,9.666016,-19.340728,-19.337891,21.771017,21.762129,0.022696,0.021754
873,9.819462,9.799805,-19.613702,-19.605469,22.076569,22.063262,0.022510,0.022055
874,9.918129,9.896484,-19.810705,-19.797852,22.298858,22.279891,0.021051,0.022272
875,9.976835,9.951172,-19.927883,-19.907227,22.431173,22.402982,0.020953,0.022395
876,9.996238,9.966797,-19.966560,-19.937500,22.473748,22.437174,0.020949,0.022429
877,9.976347,9.944336,-19.926753,-19.889648,22.429314,22.383688,0.021724,0.022376
878,9.917970,9.883789,-19.810072,-19.768555,22.297308,22.247409,0.021937,0.022240
879,9.819831,9.784180,-19.613971,-19.572266,22.075576,22.026139,0.022321,0.022018
880,9.682731,9.647461,-19.340050,-19.300781,21.768625,21.720366,0.020499,0.021713
881,9.507077,9.475586,-18.989120,-18.957031,21.373028,21.333510,0.022227,0.021326
882,9.294653,9.267578,-18.564750,-18.541992,20.896498,20.866303,0.020131,0.020859
883,9.045494,9.022461,-18.067007,-18.052734,20.334799,20.315570,0.019962,0.020308
884,8.761333,8.742188,-17.499351,-17.493164,19.695523,19.685707,0.019360,0.019679
885,8.440337,8.423828,-16.858119,-16.855469,18.974218,18.968167,0.017069,0.018961
886,8.086935,8.072266,-16.152168,-16.153320,18.180532,18.177847,0.018718,0.018171
887,7.701766,7.688477,-15.382768,-15.386719,17.314625,17.314992,0.018033,0.017309
888,7.287623,7.275391,-14.555499,-14.560547,16.384416,16.385218,0.016679,0.016379
889,6.843435,6.833008,-13.668216,-13.672852,15.385209,15.386572,0.015364,0.015381
890,6.372287,6.362305,-12.727090,-12.732422,14.324614,14.328090,0.016825,0.014323
891,5.875819,5.867188,-11.735392,-11.742188,13.210046,13.213680,0.012687,0.013209
892,5.358050,5.349609,-10.701155,-10.705078,12.043191,12.046762,0.012667,0.012042
893,4.817233,4.809570,-9.620880,-9.625977,10.828817,10.832219,0.010480,0.010828
894,4.257724,4.250977,-8.503278,-8.509766,9.572403,9.575913,0.010737,0.009573
