k,il,il_hat,vc,vc_hat,vR2,vR2_hat,iR2,iR2_hat
67,8.438738,8.426758,-16.856269,-16.861328,18.971164,18.974761,0.019692,0.018968
68,8.758905,8.747070,-17.495707,-17.500977,19.691985,19.694744,0.019897,0.019688
69,9.043727,9.031250,-18.064541,-18.070312,20.334116,20.335352,0.020402,0.020328
70,9.293534,9.279297,-18.563437,-18.566406,20.894010,20.893656,0.019832,0.020886
71,9.506669,9.491211,-18.989081,-18.989258,21.373613,21.369656,0.020943,0.021362
72,9.682170,9.664062,-19.339551,-19.335938,21.767479,21.759687,0.021369,0.021752
73,9.819895,9.799805,-19.614569,-19.605469,22.074956,22.063262,0.021798,0.022055
74,9.918767,9.897461,-19.811978,-19.797852,22.299333,22.280136,0.020966,0.022272
75,9.977748,9.953125,-19.929709,-19.910156,22.431894,22.406401,0.022491,0.022398
76,9.996980,9.968750,-19.968042,-19.940430,22.475727,22.440593,0.023134,0.022433
77,9.976697,9.945312,-19.927451,-19.891602,22.430012,22.385886,0.022516,0.022378
78,9.917817,9.883789,-19.809766,-19.768555,22.298519,22.247409,0.022359,0.022240
79,9.820611,9.785156,-19.615531,-19.574219,22.078512,22.028337,0.021343,0.022021
80,9.683171,9.648438,-19.340926,-19.301758,21.769390,21.721587,0.021179,0.021714
81,9.508037,9.476562,-18.991038,-18.958984,21.373589,21.335708,0.020509,0.021328
82,9.295560,9.268555,-18.566563,-18.544922,20.899567,20.869478,0.024072,0.020862
83,9.045545,9.022461,-18.067105,-18.053711,20.335575,20.316547,0.021522,0.020309
84,8.760156,8.741211,-17.496998,-17.490234,19.694141,19.682532,0.021551,0.019676
85,8.440220,8.423828,-16.857889,-16.856445,18.975851,18.969144,0.019841,0.018962
86,8.087537,8.073242,-16.153373,-16.155273,18.181430,18.180045,0.019124,0.018174
87,7.702413,7.689453,-15.384060,-15.386719,17.315222,17.315236,0.019063,0.017309
88,7.286993,7.275391,-14.554237,-14.558594,16.381795,16.383264,0.016362,0.016377
89,6.842850,6.832031,-13.667048,-13.671875,15.383318,15.385351,0.015671,0.015380
90,6.372411,6.362305,-12.727339,-12.733398,14.325947,14.329067,0.014742,0.014324
91,5.876488,5.868164,-11.736730,-11.743164,13.211227,13.214902,0.011222,0.013210
92,5.356679,5.347656,-10.698414,-10.703125,12.040387,12.044320,0.012849,0.012040
93,4.817029,4.809570,-9.620476,-9.625977,10.828254,10.832219,0.011227,0.010828
94,4.257800,4.250977,-8.503430,-8.508789,9.572081,9.574936,0.008160,0.009572
95,3.681439,3.674805,-7.352170,-7.357422,8.276080,8.279065,0.008255,0.008276
96,3.089984,3.084961,-6.170766,-6.175781,6.946486,6.949491,0.007241,0.006947
97,2.487295,2.483398,-4.966931,-4.969727,5.590706,5.592564,0.005810,0.005591
98,1.874194,1.871094,-3.742300,-3.746094,4.214222,4.215365,0.005643,0.004214
99,1.254991,1.250977,-2.505488,-2.505859,2.818469,2.819605,0.002433,0.002819
100,0.629206,0.626953,-1.255531,-1.256836,1.414028,1.414077,0.002885,0.001414
101,0.000995,-0.000977,-0.000734,-0.000977,0.000920,0.000733,-0.001292,0.000001
102,-0.626638,-0.626953,1.252901,1.252930,-1.410401,-1.410169,-0.000433,-0.001410
103,-1.251812,-1.251953,2.501620,2.501953,-2.816020,-2.815942,-0.003860,-0.002815
104,-1.871692,-1.871094,3.739761,3.739258,-4.208879,-4.208527,-0.003835,-0.004207
105,-2.485010,-2.482422,4.964791,4.964844,-5.586435,-5.587435,-0.004692,-0.005585
106,-3.088266,-3.085938,6.169716,6.171875,-6.944106,-6.945828,-0.006759,-0.006943
107,-3.678883,-3.676758,7.349392,7.352539,-8.272509,-8.274670,-0.007292,-0.008272
108,-4.254770,-4.250977,8.499642,8.501953,-9.567148,-9.568098,-0.009641,-0.009565
109,-4.814128,-4.809570,9.616872,9.620117,-10.823326,-10.826358,-0.011087,-0.010823
110,-5.355322,-5.350586,10.697819,10.703125,-12.041669,-12.045053,-0.011945,-0.012041
111,-5.874348,-5.869141,11.734480,11.738281,-13.207498,-13.210262,-0.013522,-0.013206
112,-6.371092,-6.364258,12.726633,12.730469,-14.323901,-14.326625,-0.013157,-0.014322
113,-6.841861,-6.834961,13.666898,13.672852,-15.383869,-15.387061,-0.017082,-0.015382
114,-7.285791,-7.278320,14.553551,14.559570,-16.381727,-16.384974,-0.015677,-0.016379
115,-7.701496,-7.693359,15.383825,15.389648,-17.316728,-17.319144,-0.018229,-0.017313
